2022-05-07 13:39:10, laser,001.104, uwb,000.940
2022-05-07 13:39:10, laser,001.111, uwb,000.970
2022-05-07 13:39:11, laser,001.112, uwb,000.980
2022-05-07 13:39:11, laser,001.115, uwb,000.990
2022-05-07 13:39:11, laser,001.119, uwb,001.010
2022-05-07 13:39:11, laser,001.132, uwb,000.990
2022-05-07 13:39:11, laser,001.134, uwb,000.970
2022-05-07 13:39:11, laser,001.144, uwb,000.990
2022-05-07 13:39:11, laser,001.151, uwb,001.010
2022-05-07 13:39:11, laser,001.166, uwb,001.020
2022-05-07 13:39:12, laser,001.174, uwb,001.020
2022-05-07 13:39:12, laser,001.185, uwb,001.000
2022-05-07 13:39:12, laser,001.193, uwb,001.010
2022-05-07 13:39:12, laser,001.212, uwb,000.990
2022-05-07 13:39:12, laser,001.224, uwb,001.010
2022-05-07 13:39:12, laser,001.237, uwb,000.990
2022-05-07 13:39:12, laser,001.252, uwb,000.980
2022-05-07 13:39:13, laser,001.278, uwb,001.020
2022-05-07 13:39:13, laser,001.292, uwb,001.060
2022-05-07 13:39:13, laser,001.302, uwb,001.070
2022-05-07 13:39:13, laser,001.313, uwb,001.100
2022-05-07 13:39:13, laser,001.330, uwb,001.130
2022-05-07 13:39:13, laser,001.336, uwb,001.130
2022-05-07 13:39:13, laser,001.342, uwb,001.160
2022-05-07 13:39:13, laser,001.353, uwb,001.200
2022-05-07 13:39:13, laser,001.358, uwb,001.200
2022-05-07 13:39:14, laser,001.363, uwb,001.160
2022-05-07 13:39:14, laser,001.368, uwb,001.130
2022-05-07 13:39:14, laser,001.382, uwb,001.130
2022-05-07 13:39:14, laser,001.390, uwb,001.120
2022-05-07 13:39:14, laser,001.397, uwb,001.150
2022-05-07 13:39:14, laser,001.406, uwb,001.180
2022-05-07 13:39:14, laser,001.421, uwb,001.240
2022-05-07 13:39:15, laser,001.428, uwb,001.290
2022-05-07 13:39:15, laser,001.435, uwb,001.290
2022-05-07 13:39:15, laser,001.437, uwb,001.270
2022-05-07 13:39:15, laser,001.445, uwb,001.260
2022-05-07 13:39:15, laser,001.446, uwb,001.290
2022-05-07 13:39:15, laser,001.448, uwb,001.310
2022-05-07 13:39:15, laser,001.455, uwb,001.330
2022-05-07 13:39:15, laser,001.461, uwb,001.350
2022-05-07 13:39:16, laser,001.473, uwb,001.350
2022-05-07 13:39:16, laser,001.479, uwb,001.310
2022-05-07 13:39:16, laser,001.491, uwb,001.310
2022-05-07 13:39:16, laser,001.510, uwb,001.330
2022-05-07 13:39:16, laser,001.521, uwb,001.330
2022-05-07 13:39:16, laser,001.529, uwb,001.330
2022-05-07 13:39:16, laser,001.545, uwb,001.380
2022-05-07 13:39:16, laser,001.554, uwb,001.350
2022-05-07 13:39:17, laser,001.560, uwb,001.340
2022-05-07 13:39:17, laser,001.568, uwb,001.370
2022-05-07 13:39:17, laser,001.586, uwb,001.380
2022-05-07 13:39:17, laser,001.592, uwb,001.430
2022-05-07 13:39:17, laser,001.600, uwb,001.470
2022-05-07 13:39:17, laser,001.611, uwb,001.450
2022-05-07 13:39:17, laser,001.631, uwb,001.450
2022-05-07 13:39:17, laser,001.638, uwb,001.480
2022-05-07 13:39:18, laser,001.647, uwb,001.440
2022-05-07 13:39:18, laser,001.654, uwb,001.460
2022-05-07 13:39:18, laser,001.670, uwb,001.490
2022-05-07 13:39:18, laser,001.673, uwb,001.480
2022-05-07 13:39:18, laser,001.677, uwb,001.480
2022-05-07 13:39:18, laser,001.686, uwb,001.520
2022-05-07 13:39:18, laser,001.694, uwb,001.540
2022-05-07 13:39:18, laser,001.702, uwb,001.530
2022-05-07 13:39:19, laser,001.705, uwb,001.590
2022-05-07 13:39:19, laser,001.713, uwb,001.540
2022-05-07 13:39:19, laser,001.726, uwb,001.530
2022-05-07 13:39:19, laser,001.733, uwb,001.560
2022-05-07 13:39:19, laser,001.739, uwb,001.570
