2022-05-07 13:13:50, laser,001.052, uwb,001.030
2022-05-07 13:13:50, laser,001.054, uwb,001.000
2022-05-07 13:13:50, laser,001.057, uwb,000.990
2022-05-07 13:13:50, laser,001.058, uwb,000.960
2022-05-07 13:13:50, laser,001.060, uwb,000.980
2022-05-07 13:13:50, laser,001.070, uwb,000.970
2022-05-07 13:13:50, laser,001.082, uwb,001.020
2022-05-07 13:13:50, laser,001.088, uwb,001.010
2022-05-07 13:13:51, laser,001.094, uwb,001.030
2022-05-07 13:13:51, laser,001.101, uwb,001.000
2022-05-07 13:13:51, laser,001.115, uwb,001.010
2022-05-07 13:13:51, laser,001.121, uwb,001.020
2022-05-07 13:13:51, laser,001.130, uwb,001.020
2022-05-07 13:13:51, laser,001.136, uwb,001.000
2022-05-07 13:13:51, laser,001.152, uwb,001.030
2022-05-07 13:13:51, laser,001.160, uwb,000.990
2022-05-07 13:13:52, laser,001.169, uwb,001.010
2022-05-07 13:13:52, laser,001.176, uwb,001.040
2022-05-07 13:13:52, laser,001.189, uwb,001.060
2022-05-07 13:13:52, laser,001.195, uwb,001.060
2022-05-07 13:13:52, laser,001.201, uwb,001.030
2022-05-07 13:13:52, laser,001.203, uwb,001.050
2022-05-07 13:13:52, laser,001.212, uwb,001.080
2022-05-07 13:13:52, laser,001.217, uwb,001.050
2022-05-07 13:13:53, laser,001.221, uwb,001.050
2022-05-07 13:13:53, laser,001.228, uwb,001.050
2022-05-07 13:13:53, laser,001.229, uwb,001.040
2022-05-07 13:13:53, laser,001.235, uwb,000.980
2022-05-07 13:13:53, laser,001.239, uwb,001.010
2022-05-07 13:13:53, laser,001.251, uwb,001.010
2022-05-07 13:13:53, laser,001.257, uwb,001.070
2022-05-07 13:13:53, laser,001.267, uwb,001.070
2022-05-07 13:13:54, laser,001.277, uwb,001.070
2022-05-07 13:13:54, laser,001.301, uwb,001.100
2022-05-07 13:13:54, laser,001.314, uwb,001.110
2022-05-07 13:13:54, laser,001.330, uwb,001.180
2022-05-07 13:13:54, laser,001.343, uwb,001.220
2022-05-07 13:13:54, laser,001.368, uwb,001.230
2022-05-07 13:13:54, laser,001.380, uwb,001.200
2022-05-07 13:13:54, laser,001.391, uwb,001.270
2022-05-07 13:13:55, laser,001.402, uwb,001.300
2022-05-07 13:13:55, laser,001.422, uwb,001.320
2022-05-07 13:13:55, laser,001.433, uwb,001.340
2022-05-07 13:13:55, laser,001.441, uwb,001.350
2022-05-07 13:13:55, laser,001.452, uwb,001.350
2022-05-07 13:13:55, laser,001.471, uwb,001.370
