2022-05-07 13:07:42, laser,000.989, uwb,000.880
2022-05-07 13:07:42, laser,001.019, uwb,000.900
2022-05-07 13:07:42, laser,001.033, uwb,000.930
2022-05-07 13:07:42, laser,001.048, uwb,001.000
2022-05-07 13:07:43, laser,001.071, uwb,001.020
2022-05-07 13:07:43, laser,001.116, uwb,000.980
2022-05-07 13:07:43, laser,001.141, uwb,000.970
2022-05-07 13:07:43, laser,001.164, uwb,000.970
2022-05-07 13:07:43, laser,001.192, uwb,001.000
2022-05-07 13:07:43, laser,001.250, uwb,001.000
2022-05-07 13:07:43, laser,001.283, uwb,001.030
2022-05-07 13:07:43, laser,001.317, uwb,001.080
2022-05-07 13:07:44, laser,001.355, uwb,001.090
2022-05-07 13:07:44, laser,001.438, uwb,001.170
2022-05-07 13:07:44, laser,001.480, uwb,001.220
2022-05-07 13:07:44, laser,001.521, uwb,001.250
2022-05-07 13:07:44, laser,001.561, uwb,001.290
2022-05-07 13:07:44, laser,001.648, uwb,001.360
2022-05-07 13:07:44, laser,001.693, uwb,001.430
2022-05-07 13:07:45, laser,001.738, uwb,001.490
2022-05-07 13:07:45, laser,001.831, uwb,001.580
2022-05-07 13:07:45, laser,001.875, uwb,001.590
2022-05-07 13:07:45, laser,001.923, uwb,001.700
2022-05-07 13:07:45, laser,001.972, uwb,001.740
2022-05-07 13:07:45, laser,002.064, uwb,001.770
2022-05-07 13:07:45, laser,002.106, uwb,001.790
2022-05-07 13:07:45, laser,002.156, uwb,001.830
2022-05-07 13:07:46, laser,002.204, uwb,001.910
2022-05-07 13:07:46, laser,002.299, uwb,001.950
2022-05-07 13:07:46, laser,002.299, uwb,001.980
2022-05-07 13:07:46, laser,002.411, uwb,002.060
2022-05-07 13:07:46, laser,002.460, uwb,002.110
2022-05-07 13:07:46, laser,002.507, uwb,002.200
2022-05-07 13:07:46, laser,002.604, uwb,002.280
2022-05-07 13:07:46, laser,002.653, uwb,002.320
2022-05-07 13:07:47, laser,002.701, uwb,002.360
2022-05-07 13:07:47, laser,002.749, uwb,002.490
2022-05-07 13:07:47, laser,002.847, uwb,002.510
2022-05-07 13:07:47, laser,002.895, uwb,002.560
2022-05-07 13:07:47, laser,002.947, uwb,002.680
2022-05-07 13:07:47, laser,002.996, uwb,002.730
2022-05-07 13:07:47, laser,003.088, uwb,002.780
2022-05-07 13:07:47, laser,003.137, uwb,002.830
2022-05-07 13:07:48, laser,003.184, uwb,002.860
2022-05-07 13:07:48, laser,003.229, uwb,002.950
2022-05-07 13:07:48, laser,003.325, uwb,003.060
2022-05-07 13:07:48, laser,003.376, uwb,003.120
2022-05-07 13:07:48, laser,003.420, uwb,003.270
2022-05-07 13:07:48, laser,003.469, uwb,003.280
2022-05-07 13:07:48, laser,003.559, uwb,003.300
2022-05-07 13:07:48, laser,003.606, uwb,003.370
2022-05-07 13:07:49, laser,003.652, uwb,003.440
2022-05-07 13:07:49, laser,003.701, uwb,003.480
2022-05-07 13:07:49, laser,003.796, uwb,003.550
2022-05-07 13:07:49, laser,003.840, uwb,003.580
2022-05-07 13:07:49, laser,003.885, uwb,003.610
2022-05-07 13:07:49, laser,003.969, uwb,003.690
2022-05-07 13:07:49, laser,004.013, uwb,003.740
2022-05-07 13:07:49, laser,004.058, uwb,003.810
2022-05-07 13:07:50, laser,004.101, uwb,003.890
2022-05-07 13:07:50, laser,004.193, uwb,003.920
2022-05-07 13:07:50, laser,004.236, uwb,003.970
2022-05-07 13:07:50, laser,004.280, uwb,004.030
2022-05-07 13:07:50, laser,004.322, uwb,004.110
2022-05-07 13:07:50, laser,004.407, uwb,004.120
2022-05-07 13:07:50, laser,004.449, uwb,004.190
2022-05-07 13:07:50, laser,004.490, uwb,004.260
2022-05-07 13:07:51, laser,004.529, uwb,004.320
2022-05-07 13:07:51, laser,004.609, uwb,004.360
2022-05-07 13:07:51, laser,004.646, uwb,004.410
2022-05-07 13:07:51, laser,004.725, uwb,004.450
2022-05-07 13:07:51, laser,004.800, uwb,004.520
2022-05-07 13:07:51, laser,004.838, uwb,004.570
2022-05-07 13:07:51, laser,004.878, uwb,004.630
2022-05-07 13:07:52, laser,004.913, uwb,004.660
2022-05-07 13:07:52, laser,004.990, uwb,004.680
2022-05-07 13:07:52, laser,005.026, uwb,004.720
2022-05-07 13:07:52, laser,005.063, uwb,004.850
2022-05-07 13:07:52, laser,005.100, uwb,004.950
2022-05-07 13:07:52, laser,005.172, uwb,004.960
2022-05-07 13:07:52, laser,005.209, uwb,004.980
2022-05-07 13:07:52, laser,005.245, uwb,005.000
2022-05-07 13:07:53, laser,005.278, uwb,005.060
2022-05-07 13:07:53, laser,005.356, uwb,005.100
2022-05-07 13:07:53, laser,005.393, uwb,005.160
2022-05-07 13:07:53, laser,005.433, uwb,005.190
2022-05-07 13:07:53, laser,005.467, uwb,005.210
2022-05-07 13:07:53, laser,005.537, uwb,005.270
2022-05-07 13:07:53, laser,005.572, uwb,005.330
2022-05-07 13:07:53, laser,005.603, uwb,005.390
2022-05-07 13:07:54, laser,005.670, uwb,005.410
2022-05-07 13:07:54, laser,005.707, uwb,005.460
2022-05-07 13:07:54, laser,005.743, uwb,005.520
2022-05-07 13:07:54, laser,005.780, uwb,005.560
2022-05-07 13:07:54, laser,005.847, uwb,005.550
2022-05-07 13:07:54, laser,005.882, uwb,005.580
2022-05-07 13:07:54, laser,005.913, uwb,005.640
2022-05-07 13:07:54, laser,005.945, uwb,005.700
2022-05-07 13:07:55, laser,006.011, uwb,005.740
2022-05-07 13:07:55, laser,006.044, uwb,005.750
2022-05-07 13:07:55, laser,006.080, uwb,005.800
2022-05-07 13:07:55, laser,006.116, uwb,005.850
2022-05-07 13:07:55, laser,006.186, uwb,005.890
2022-05-07 13:07:55, laser,006.218, uwb,005.930
2022-05-07 13:07:55, laser,006.251, uwb,005.940
2022-05-07 13:07:55, laser,006.283, uwb,006.000
2022-05-07 13:07:56, laser,006.338, uwb,006.060
2022-05-07 13:07:56, laser,006.362, uwb,006.130
2022-05-07 13:07:56, laser,006.404, uwb,006.200
2022-05-07 13:07:56, laser,006.427, uwb,006.200
2022-05-07 13:07:56, laser,006.453, uwb,006.200
2022-05-07 13:07:56, laser,006.509, uwb,006.200
2022-05-07 13:07:56, laser,006.533, uwb,006.230
2022-05-07 13:07:56, laser,006.556, uwb,006.280
2022-05-07 13:07:57, laser,006.581, uwb,006.320
2022-05-07 13:07:57, laser,006.624, uwb,006.380
2022-05-07 13:07:57, laser,006.648, uwb,006.410
2022-05-07 13:07:57, laser,006.669, uwb,006.470
2022-05-07 13:07:57, laser,006.688, uwb,006.490
2022-05-07 13:07:57, laser,006.727, uwb,006.470
2022-05-07 13:07:57, laser,006.748, uwb,006.500
2022-05-07 13:07:57, laser,006.768, uwb,006.560
2022-05-07 13:07:58, laser,006.803, uwb,006.560
2022-05-07 13:07:58, laser,006.818, uwb,006.580
2022-05-07 13:07:58, laser,006.838, uwb,006.590
