2022-05-07 13:41:37, laser,001.001, uwb,000.960
2022-05-07 13:41:37, laser,001.003, uwb,000.970
2022-05-07 13:41:37, laser,001.008, uwb,000.980
2022-05-07 13:41:37, laser,001.012, uwb,000.940
2022-05-07 13:41:37, laser,001.029, uwb,000.930
2022-05-07 13:41:37, laser,001.038, uwb,000.980
2022-05-07 13:41:37, laser,001.041, uwb,000.950
2022-05-07 13:41:37, laser,001.051, uwb,000.970
2022-05-07 13:41:38, laser,001.076, uwb,001.000
2022-05-07 13:41:38, laser,001.096, uwb,001.000
2022-05-07 13:41:38, laser,001.111, uwb,000.990
2022-05-07 13:41:38, laser,001.142, uwb,000.980
2022-05-07 13:41:38, laser,001.156, uwb,001.020
2022-05-07 13:41:38, laser,001.171, uwb,001.010
2022-05-07 13:41:38, laser,001.184, uwb,001.040
2022-05-07 13:41:38, laser,001.205, uwb,001.030
2022-05-07 13:41:39, laser,001.219, uwb,001.060
2022-05-07 13:41:39, laser,001.231, uwb,001.040
2022-05-07 13:41:39, laser,001.244, uwb,001.070
2022-05-07 13:41:39, laser,001.273, uwb,001.060
2022-05-07 13:41:39, laser,001.289, uwb,001.080
2022-05-07 13:41:39, laser,001.304, uwb,001.070
2022-05-07 13:41:39, laser,001.320, uwb,001.070
2022-05-07 13:41:39, laser,001.353, uwb,001.080
2022-05-07 13:41:40, laser,001.370, uwb,001.090
2022-05-07 13:41:40, laser,001.386, uwb,001.150
2022-05-07 13:41:40, laser,001.403, uwb,001.200
2022-05-07 13:41:40, laser,001.440, uwb,001.200
2022-05-07 13:41:40, laser,001.458, uwb,001.200
2022-05-07 13:41:40, laser,001.477, uwb,001.250
2022-05-07 13:41:40, laser,001.495, uwb,001.230
2022-05-07 13:41:40, laser,001.532, uwb,001.270
2022-05-07 13:41:41, laser,001.550, uwb,001.330
2022-05-07 13:41:41, laser,001.572, uwb,001.360
2022-05-07 13:41:41, laser,001.610, uwb,001.360
2022-05-07 13:41:41, laser,001.628, uwb,001.380
2022-05-07 13:41:41, laser,001.643, uwb,001.430
2022-05-07 13:41:41, laser,001.659, uwb,001.510
2022-05-07 13:41:41, laser,001.691, uwb,001.540
2022-05-07 13:41:41, laser,001.706, uwb,001.540
2022-05-07 13:41:42, laser,001.722, uwb,001.550
2022-05-07 13:41:42, laser,001.734, uwb,001.610
2022-05-07 13:41:42, laser,001.764, uwb,001.600
2022-05-07 13:41:42, laser,001.780, uwb,001.570
2022-05-07 13:41:42, laser,001.795, uwb,001.600
2022-05-07 13:41:42, laser,001.809, uwb,001.580
2022-05-07 13:41:42, laser,001.837, uwb,001.540
2022-05-07 13:41:42, laser,001.850, uwb,001.560
2022-05-07 13:41:43, laser,001.860, uwb,001.580
2022-05-07 13:41:43, laser,001.874, uwb,001.660
2022-05-07 13:41:43, laser,001.894, uwb,001.680
2022-05-07 13:41:43, laser,001.905, uwb,001.710
2022-05-07 13:41:43, laser,001.914, uwb,001.670
2022-05-07 13:41:43, laser,001.934, uwb,001.670
2022-05-07 13:41:43, laser,001.947, uwb,001.700
2022-05-07 13:41:43, laser,001.957, uwb,001.700
2022-05-07 13:41:44, laser,001.970, uwb,001.700
2022-05-07 13:41:44, laser,001.986, uwb,001.720
2022-05-07 13:41:44, laser,001.997, uwb,001.740
2022-05-07 13:41:44, laser,002.020, uwb,001.770
2022-05-07 13:41:44, laser,002.032, uwb,001.790
2022-05-07 13:41:44, laser,002.042, uwb,001.830
2022-05-07 13:41:44, laser,002.050, uwb,001.850
2022-05-07 13:41:44, laser,002.076, uwb,001.860
2022-05-07 13:41:45, laser,002.087, uwb,001.900
2022-05-07 13:41:45, laser,002.103, uwb,001.890
2022-05-07 13:41:45, laser,002.130, uwb,001.860
2022-05-07 13:41:45, laser,002.145, uwb,001.880
2022-05-07 13:41:45, laser,002.159, uwb,001.910
2022-05-07 13:41:45, laser,002.177, uwb,001.930
2022-05-07 13:41:45, laser,002.210, uwb,001.960
