2022-05-07 12:50:51, laser,001.171, uwb,000.950
2022-05-07 12:50:51, laser,001.178, uwb,000.980
2022-05-07 12:50:51, laser,001.178, uwb,001.030
2022-05-07 12:50:51, laser,001.178, uwb,001.050
2022-05-07 12:50:51, laser,001.192, uwb,001.030
2022-05-07 12:50:51, laser,001.201, uwb,001.010
2022-05-07 12:50:52, laser,001.212, uwb,001.030
2022-05-07 12:50:52, laser,001.228, uwb,001.060
2022-05-07 12:50:52, laser,001.260, uwb,001.060
2022-05-07 12:50:52, laser,001.281, uwb,001.070
2022-05-07 12:50:52, laser,001.298, uwb,001.100
2022-05-07 12:50:52, laser,001.319, uwb,001.160
2022-05-07 12:50:52, laser,001.358, uwb,001.180
2022-05-07 12:50:52, laser,001.380, uwb,001.250
2022-05-07 12:50:53, laser,001.403, uwb,001.300
2022-05-07 12:50:53, laser,001.429, uwb,001.290
2022-05-07 12:50:53, laser,001.479, uwb,001.300
2022-05-07 12:50:53, laser,001.507, uwb,001.300
2022-05-07 12:50:53, laser,001.534, uwb,001.290
2022-05-07 12:50:53, laser,001.565, uwb,001.280
2022-05-07 12:50:53, laser,001.622, uwb,001.280
2022-05-07 12:50:53, laser,001.654, uwb,001.360
2022-05-07 12:50:54, laser,001.685, uwb,001.420
2022-05-07 12:50:54, laser,001.719, uwb,001.500
2022-05-07 12:50:54, laser,001.786, uwb,001.520
2022-05-07 12:50:54, laser,001.786, uwb,001.570
2022-05-07 12:50:54, laser,001.851, uwb,001.660
2022-05-07 12:50:54, laser,001.915, uwb,001.680
2022-05-07 12:50:54, laser,001.949, uwb,001.660
2022-05-07 12:50:54, laser,001.980, uwb,001.670
2022-05-07 12:50:55, laser,002.016, uwb,001.730
2022-05-07 12:50:55, laser,002.084, uwb,001.760
2022-05-07 12:50:55, laser,002.121, uwb,001.850
2022-05-07 12:50:55, laser,002.156, uwb,001.910
2022-05-07 12:50:55, laser,002.193, uwb,001.990
2022-05-07 12:50:55, laser,002.265, uwb,002.030
2022-05-07 12:50:55, laser,002.303, uwb,002.040
2022-05-07 12:50:55, laser,002.341, uwb,002.130
2022-05-07 12:50:56, laser,002.378, uwb,002.190
2022-05-07 12:50:56, laser,002.455, uwb,002.250
2022-05-07 12:50:56, laser,002.495, uwb,002.240
2022-05-07 12:50:56, laser,002.535, uwb,002.330
2022-05-07 12:50:56, laser,002.613, uwb,002.420
2022-05-07 12:50:56, laser,002.654, uwb,002.490
2022-05-07 12:50:56, laser,002.696, uwb,002.560
2022-05-07 12:50:57, laser,002.735, uwb,002.650
2022-05-07 12:50:57, laser,002.816, uwb,002.600
2022-05-07 12:50:57, laser,002.857, uwb,002.690
2022-05-07 12:50:57, laser,002.896, uwb,002.740
2022-05-07 12:50:57, laser,002.937, uwb,002.800
2022-05-07 12:50:57, laser,003.019, uwb,002.790
2022-05-07 12:50:57, laser,003.059, uwb,002.860
2022-05-07 12:50:57, laser,003.097, uwb,002.950
2022-05-07 12:50:58, laser,003.136, uwb,003.010
2022-05-07 12:50:58, laser,003.205, uwb,003.020
2022-05-07 12:50:58, laser,003.239, uwb,003.030
2022-05-07 12:50:58, laser,003.271, uwb,003.050
2022-05-07 12:50:58, laser,003.306, uwb,003.110
2022-05-07 12:50:58, laser,003.375, uwb,003.140
2022-05-07 12:50:58, laser,003.409, uwb,003.190
2022-05-07 12:50:58, laser,003.445, uwb,003.280
2022-05-07 12:50:59, laser,003.482, uwb,003.300
2022-05-07 12:50:59, laser,003.551, uwb,003.320
2022-05-07 12:50:59, laser,003.588, uwb,003.370
2022-05-07 12:50:59, laser,003.626, uwb,003.420
2022-05-07 12:50:59, laser,003.701, uwb,003.460
2022-05-07 12:50:59, laser,003.742, uwb,003.470
2022-05-07 12:50:59, laser,003.780, uwb,003.540
2022-05-07 12:50:59, laser,003.816, uwb,003.630
2022-05-07 12:51:00, laser,003.888, uwb,003.690
2022-05-07 12:51:00, laser,003.925, uwb,003.720
2022-05-07 12:51:00, laser,003.960, uwb,003.770
2022-05-07 12:51:00, laser,003.995, uwb,003.820
2022-05-07 12:51:00, laser,004.070, uwb,003.840
2022-05-07 12:51:00, laser,004.108, uwb,003.920
2022-05-07 12:51:00, laser,004.146, uwb,003.970
2022-05-07 12:51:00, laser,004.186, uwb,004.040
2022-05-07 12:51:01, laser,004.264, uwb,004.090
2022-05-07 12:51:01, laser,004.302, uwb,004.120
2022-05-07 12:51:01, laser,004.344, uwb,004.190
2022-05-07 12:51:01, laser,004.383, uwb,004.200
2022-05-07 12:51:01, laser,004.461, uwb,004.290
2022-05-07 12:51:01, laser,004.501, uwb,004.350
2022-05-07 12:51:01, laser,004.542, uwb,004.380
2022-05-07 12:51:01, laser,004.581, uwb,004.500
2022-05-07 12:51:02, laser,004.662, uwb,004.590
2022-05-07 12:51:02, laser,004.704, uwb,004.590
2022-05-07 12:51:02, laser,004.744, uwb,004.580
2022-05-07 12:51:02, laser,004.827, uwb,004.630
2022-05-07 12:51:02, laser,004.868, uwb,004.690
2022-05-07 12:51:02, laser,004.910, uwb,004.710
2022-05-07 12:51:02, laser,004.951, uwb,004.700
2022-05-07 12:51:02, laser,005.035, uwb,004.780
2022-05-07 12:51:03, laser,005.076, uwb,004.900
2022-05-07 12:51:03, laser,005.117, uwb,004.910
2022-05-07 12:51:03, laser,005.156, uwb,004.970
2022-05-07 12:51:03, laser,005.236, uwb,005.020
2022-05-07 12:51:03, laser,005.275, uwb,005.020
2022-05-07 12:51:03, laser,005.316, uwb,005.110
