2022-05-07 11:52:01, laser,001.197, uwb,001.030
2022-05-07 11:52:02, laser,001.199, uwb,001.060
2022-05-07 11:52:02, laser,001.199, uwb,001.070
2022-05-07 11:52:02, laser,001.199, uwb,001.110
2022-05-07 11:52:02, laser,001.199, uwb,001.130
2022-05-07 11:52:02, laser,001.199, uwb,001.120
2022-05-07 11:52:02, laser,001.200, uwb,001.120
2022-05-07 11:52:02, laser,001.202, uwb,001.080
2022-05-07 11:52:02, laser,001.207, uwb,001.090
2022-05-07 11:52:03, laser,001.212, uwb,001.090
2022-05-07 11:52:03, laser,001.221, uwb,001.080
2022-05-07 11:52:03, laser,001.240, uwb,001.090
2022-05-07 11:52:03, laser,001.251, uwb,001.130
2022-05-07 11:52:03, laser,001.260, uwb,001.130
2022-05-07 11:52:03, laser,001.270, uwb,001.160
2022-05-07 11:52:03, laser,001.285, uwb,001.180
2022-05-07 11:52:03, laser,001.296, uwb,001.210
2022-05-07 11:52:04, laser,001.307, uwb,001.220
2022-05-07 11:52:04, laser,001.320, uwb,001.250
2022-05-07 11:52:04, laser,001.350, uwb,001.240
2022-05-07 11:52:04, laser,001.364, uwb,001.270
2022-05-07 11:52:04, laser,001.379, uwb,001.260
2022-05-07 11:52:04, laser,001.392, uwb,001.270
2022-05-07 11:52:04, laser,001.423, uwb,001.280
2022-05-07 11:52:05, laser,001.441, uwb,001.300
2022-05-07 11:52:05, laser,001.458, uwb,001.320
2022-05-07 11:52:05, laser,001.488, uwb,001.340
2022-05-07 11:52:05, laser,001.505, uwb,001.330
2022-05-07 11:52:05, laser,001.520, uwb,001.370
2022-05-07 11:52:05, laser,001.537, uwb,001.340
2022-05-07 11:52:05, laser,001.571, uwb,001.350
2022-05-07 11:52:05, laser,001.589, uwb,001.360
2022-05-07 11:52:06, laser,001.607, uwb,001.380
2022-05-07 11:52:06, laser,001.626, uwb,001.430
2022-05-07 11:52:06, laser,001.661, uwb,001.460
2022-05-07 11:52:06, laser,001.681, uwb,001.500
2022-05-07 11:52:06, laser,001.700, uwb,001.490
2022-05-07 11:52:06, laser,001.718, uwb,001.550
2022-05-07 11:52:06, laser,001.758, uwb,001.580
2022-05-07 11:52:06, laser,001.776, uwb,001.580
2022-05-07 11:52:07, laser,001.797, uwb,001.610
2022-05-07 11:52:07, laser,001.814, uwb,001.640
2022-05-07 11:52:07, laser,001.849, uwb,001.650
2022-05-07 11:52:07, laser,001.865, uwb,001.710
2022-05-07 11:52:07, laser,001.884, uwb,001.740
2022-05-07 11:52:07, laser,001.901, uwb,001.740
2022-05-07 11:52:07, laser,001.941, uwb,001.750
2022-05-07 11:52:07, laser,001.959, uwb,001.750
2022-05-07 11:52:08, laser,001.980, uwb,001.810
2022-05-07 11:52:08, laser,002.019, uwb,001.860
2022-05-07 11:52:08, laser,002.042, uwb,001.850
2022-05-07 11:52:08, laser,002.063, uwb,001.880
2022-05-07 11:52:08, laser,002.086, uwb,001.890
2022-05-07 11:52:08, laser,002.128, uwb,001.930
2022-05-07 11:52:08, laser,002.147, uwb,001.920
2022-05-07 11:52:08, laser,002.166, uwb,001.990
2022-05-07 11:52:09, laser,002.185, uwb,002.040
2022-05-07 11:52:09, laser,002.218, uwb,002.070
2022-05-07 11:52:09, laser,002.236, uwb,002.100
2022-05-07 11:52:09, laser,002.254, uwb,002.090
2022-05-07 11:52:09, laser,002.270, uwb,002.100
2022-05-07 11:52:09, laser,002.310, uwb,002.120
2022-05-07 11:52:09, laser,002.332, uwb,002.150
2022-05-07 11:52:09, laser,002.351, uwb,002.170
2022-05-07 11:52:10, laser,002.374, uwb,002.250
2022-05-07 11:52:10, laser,002.415, uwb,002.270
2022-05-07 11:52:10, laser,002.437, uwb,002.280
2022-05-07 11:52:10, laser,002.460, uwb,002.280
2022-05-07 11:52:10, laser,002.494, uwb,002.320
2022-05-07 11:52:10, laser,002.514, uwb,002.360
2022-05-07 11:52:10, laser,002.534, uwb,002.400
2022-05-07 11:52:10, laser,002.574, uwb,002.500
2022-05-07 11:52:11, laser,002.595, uwb,002.590
2022-05-07 11:52:11, laser,002.614, uwb,002.620
2022-05-07 11:52:11, laser,002.632, uwb,002.640
2022-05-07 11:52:11, laser,002.668, uwb,002.650
2022-05-07 11:52:11, laser,002.686, uwb,002.670
2022-05-07 11:52:11, laser,002.703, uwb,002.700
2022-05-07 11:52:11, laser,002.722, uwb,002.730
2022-05-07 11:52:11, laser,002.757, uwb,002.730
2022-05-07 11:52:12, laser,002.775, uwb,002.810
2022-05-07 11:52:12, laser,002.789, uwb,002.840
2022-05-07 11:52:12, laser,002.829, uwb,002.860
2022-05-07 11:52:12, laser,002.848, uwb,002.810
2022-05-07 11:52:12, laser,002.868, uwb,002.800
2022-05-07 11:52:12, laser,002.888, uwb,002.850
2022-05-07 11:52:12, laser,002.929, uwb,002.880
2022-05-07 11:52:12, laser,002.951, uwb,002.900
2022-05-07 11:52:13, laser,002.972, uwb,002.930
2022-05-07 11:52:13, laser,002.992, uwb,002.930
2022-05-07 11:52:13, laser,003.028, uwb,002.960
2022-05-07 11:52:13, laser,003.047, uwb,002.960
2022-05-07 11:52:13, laser,003.065, uwb,002.950
2022-05-07 11:52:13, laser,003.081, uwb,002.990
2022-05-07 11:52:13, laser,003.118, uwb,003.020
2022-05-07 11:52:13, laser,003.138, uwb,003.090
2022-05-07 11:52:14, laser,003.156, uwb,003.090
2022-05-07 11:52:14, laser,003.174, uwb,003.130
2022-05-07 11:52:14, laser,003.214, uwb,003.120
2022-05-07 11:52:14, laser,003.234, uwb,003.170
2022-05-07 11:52:14, laser,003.254, uwb,003.170
2022-05-07 11:52:14, laser,003.275, uwb,003.190
2022-05-07 11:52:14, laser,003.319, uwb,003.180
2022-05-07 11:52:14, laser,003.340, uwb,003.210
2022-05-07 11:52:15, laser,003.360, uwb,003.230
2022-05-07 11:52:15, laser,003.401, uwb,003.250
2022-05-07 11:52:15, laser,003.421, uwb,003.290
2022-05-07 11:52:15, laser,003.442, uwb,003.350
2022-05-07 11:52:15, laser,003.461, uwb,003.390
2022-05-07 11:52:15, laser,003.501, uwb,003.400
2022-05-07 11:52:15, laser,003.521, uwb,003.400
2022-05-07 11:52:15, laser,003.543, uwb,003.440
2022-05-07 11:52:16, laser,003.564, uwb,003.490
2022-05-07 11:52:16, laser,003.603, uwb,003.550
2022-05-07 11:52:16, laser,003.623, uwb,003.550
2022-05-07 11:52:16, laser,003.644, uwb,003.520
2022-05-07 11:52:16, laser,003.666, uwb,003.530
2022-05-07 11:52:16, laser,003.708, uwb,003.550
2022-05-07 11:52:16, laser,003.731, uwb,003.620
2022-05-07 11:52:16, laser,003.750, uwb,003.680
2022-05-07 11:52:17, laser,003.770, uwb,003.760
2022-05-07 11:52:17, laser,003.814, uwb,003.770
2022-05-07 11:52:17, laser,003.835, uwb,003.820
