2022-05-07 12:43:42, laser,001.560, uwb,001.450
2022-05-07 12:43:42, laser,001.606, uwb,001.480
2022-05-07 12:43:42, laser,001.625, uwb,001.510
2022-05-07 12:43:42, laser,001.649, uwb,001.530
2022-05-07 12:43:42, laser,001.673, uwb,001.540
2022-05-07 12:43:42, laser,001.721, uwb,001.560
2022-05-07 12:43:43, laser,001.745, uwb,001.580
2022-05-07 12:43:43, laser,001.770, uwb,001.600
2022-05-07 12:43:43, laser,001.823, uwb,001.580
2022-05-07 12:43:43, laser,001.850, uwb,001.620
2022-05-07 12:43:43, laser,001.879, uwb,001.710
2022-05-07 12:43:43, laser,001.902, uwb,001.740
2022-05-07 12:43:43, laser,001.960, uwb,001.790
2022-05-07 12:43:43, laser,001.985, uwb,001.820
2022-05-07 12:43:44, laser,002.017, uwb,001.830
2022-05-07 12:43:44, laser,002.044, uwb,001.860
2022-05-07 12:43:44, laser,002.100, uwb,001.860
2022-05-07 12:43:44, laser,002.132, uwb,001.900
2022-05-07 12:43:44, laser,002.165, uwb,001.930
2022-05-07 12:43:44, laser,002.195, uwb,001.970
2022-05-07 12:43:44, laser,002.260, uwb,002.010
2022-05-07 12:43:44, laser,002.291, uwb,002.090
2022-05-07 12:43:45, laser,002.328, uwb,002.160
2022-05-07 12:43:45, laser,002.362, uwb,002.200
2022-05-07 12:43:45, laser,002.431, uwb,002.250
2022-05-07 12:43:45, laser,002.466, uwb,002.270
2022-05-07 12:43:45, laser,002.501, uwb,002.280
2022-05-07 12:43:45, laser,002.538, uwb,002.340
2022-05-07 12:43:45, laser,002.612, uwb,002.370
2022-05-07 12:43:45, laser,002.654, uwb,002.450
2022-05-07 12:43:46, laser,002.690, uwb,002.490
2022-05-07 12:43:46, laser,002.765, uwb,002.610
2022-05-07 12:43:46, laser,002.803, uwb,002.630
2022-05-07 12:43:46, laser,002.840, uwb,002.670
2022-05-07 12:43:46, laser,002.878, uwb,002.640
2022-05-07 12:43:46, laser,002.953, uwb,002.670
2022-05-07 12:43:46, laser,002.992, uwb,002.710
2022-05-07 12:43:46, laser,003.032, uwb,002.770
2022-05-07 12:43:47, laser,003.069, uwb,002.840
2022-05-07 12:43:47, laser,003.146, uwb,002.830
2022-05-07 12:43:47, laser,003.181, uwb,002.860
2022-05-07 12:43:47, laser,003.214, uwb,002.930
2022-05-07 12:43:47, laser,003.247, uwb,003.020
2022-05-07 12:43:47, laser,003.311, uwb,003.080
2022-05-07 12:43:47, laser,003.342, uwb,003.120
2022-05-07 12:43:48, laser,003.374, uwb,003.170
2022-05-07 12:43:48, laser,003.406, uwb,003.200
2022-05-07 12:43:48, laser,003.473, uwb,003.260
2022-05-07 12:43:48, laser,003.506, uwb,003.300
2022-05-07 12:43:48, laser,003.539, uwb,003.360
2022-05-07 12:43:48, laser,003.570, uwb,003.450
2022-05-07 12:43:48, laser,003.637, uwb,003.470
2022-05-07 12:43:48, laser,003.670, uwb,003.480
2022-05-07 12:43:49, laser,003.706, uwb,003.510
2022-05-07 12:43:49, laser,003.776, uwb,003.580
2022-05-07 12:43:49, laser,003.808, uwb,003.640
2022-05-07 12:43:49, laser,003.845, uwb,003.680
2022-05-07 12:43:49, laser,003.877, uwb,003.710
2022-05-07 12:43:49, laser,003.943, uwb,003.830
2022-05-07 12:43:49, laser,003.977, uwb,003.820
2022-05-07 12:43:49, laser,004.010, uwb,003.840
2022-05-07 12:43:50, laser,004.044, uwb,003.870
2022-05-07 12:43:50, laser,004.044, uwb,003.930
2022-05-07 12:43:50, laser,004.131, uwb,003.990
2022-05-07 12:43:50, laser,004.163, uwb,004.000
2022-05-07 12:43:50, laser,004.231, uwb,004.000
2022-05-07 12:43:50, laser,004.263, uwb,004.040
2022-05-07 12:43:50, laser,004.299, uwb,004.060
2022-05-07 12:43:50, laser,004.332, uwb,004.090
2022-05-07 12:43:51, laser,004.403, uwb,004.200
2022-05-07 12:43:51, laser,004.435, uwb,004.280
2022-05-07 12:43:51, laser,004.470, uwb,004.320
2022-05-07 12:43:51, laser,004.502, uwb,004.340
2022-05-07 12:43:51, laser,004.570, uwb,004.340
2022-05-07 12:43:51, laser,004.600, uwb,004.380
2022-05-07 12:43:51, laser,004.632, uwb,004.410
2022-05-07 12:43:51, laser,004.663, uwb,004.440
2022-05-07 12:43:52, laser,004.723, uwb,004.490
2022-05-07 12:43:52, laser,004.752, uwb,004.560
2022-05-07 12:43:52, laser,004.784, uwb,004.600
2022-05-07 12:43:52, laser,004.814, uwb,004.690
2022-05-07 12:43:52, laser,004.874, uwb,004.720
2022-05-07 12:43:52, laser,004.905, uwb,004.780
2022-05-07 12:43:52, laser,004.936, uwb,004.800
2022-05-07 12:43:52, laser,004.995, uwb,004.800
2022-05-07 12:43:53, laser,005.022, uwb,004.810
2022-05-07 12:43:53, laser,005.050, uwb,004.890
2022-05-07 12:43:53, laser,005.077, uwb,004.920
2022-05-07 12:43:53, laser,005.129, uwb,004.980
2022-05-07 12:43:53, laser,005.152, uwb,004.990
2022-05-07 12:43:53, laser,005.174, uwb,005.020
2022-05-07 12:43:53, laser,005.200, uwb,005.070
2022-05-07 12:43:53, laser,005.248, uwb,005.080
2022-05-07 12:43:54, laser,005.274, uwb,005.120
2022-05-07 12:43:54, laser,005.296, uwb,005.140
2022-05-07 12:43:54, laser,005.322, uwb,005.190
2022-05-07 12:43:54, laser,005.372, uwb,005.230
2022-05-07 12:43:54, laser,005.399, uwb,005.250
2022-05-07 12:43:54, laser,005.424, uwb,005.300
2022-05-07 12:43:54, laser,005.450, uwb,005.350
2022-05-07 12:43:54, laser,005.498, uwb,005.400
2022-05-07 12:43:55, laser,005.523, uwb,005.390
2022-05-07 12:43:55, laser,005.545, uwb,005.380
2022-05-07 12:43:55, laser,005.597, uwb,005.420
2022-05-07 12:43:55, laser,005.623, uwb,005.460
2022-05-07 12:43:55, laser,005.651, uwb,005.480
2022-05-07 12:43:55, laser,005.676, uwb,005.520
2022-05-07 12:43:55, laser,005.729, uwb,005.540
2022-05-07 12:43:55, laser,005.756, uwb,005.540
2022-05-07 12:43:56, laser,005.781, uwb,005.590
2022-05-07 12:43:56, laser,005.809, uwb,005.620
2022-05-07 12:43:56, laser,005.860, uwb,005.650
2022-05-07 12:43:56, laser,005.884, uwb,005.680
2022-05-07 12:43:56, laser,005.910, uwb,005.710
2022-05-07 12:43:56, laser,005.934, uwb,005.710
2022-05-07 12:43:56, laser,005.982, uwb,005.770
2022-05-07 12:43:56, laser,006.006, uwb,005.820
2022-05-07 12:43:57, laser,006.032, uwb,005.860
2022-05-07 12:43:57, laser,006.061, uwb,005.930
2022-05-07 12:43:57, laser,006.119, uwb,005.970
2022-05-07 12:43:57, laser,006.147, uwb,005.970
2022-05-07 12:43:57, laser,006.177, uwb,006.000
2022-05-07 12:43:57, laser,006.206, uwb,006.040
2022-05-07 12:43:57, laser,006.264, uwb,006.030
2022-05-07 12:43:57, laser,006.290, uwb,006.040
2022-05-07 12:43:58, laser,006.321, uwb,006.100
2022-05-07 12:43:58, laser,006.378, uwb,006.140
2022-05-07 12:43:58, laser,006.408, uwb,006.170
2022-05-07 12:43:58, laser,006.432, uwb,006.200
2022-05-07 12:43:58, laser,006.459, uwb,006.230
2022-05-07 12:43:58, laser,006.509, uwb,006.270
2022-05-07 12:43:58, laser,006.532, uwb,006.300
2022-05-07 12:43:58, laser,006.553, uwb,006.320
2022-05-07 12:43:59, laser,006.576, uwb,006.380
2022-05-07 12:43:59, laser,006.617, uwb,006.400
2022-05-07 12:43:59, laser,006.635, uwb,006.410
2022-05-07 12:43:59, laser,006.654, uwb,006.400
