2022-05-07 13:02:55, laser,001.219, uwb,001.020
2022-05-07 13:02:55, laser,001.235, uwb,001.060
2022-05-07 13:02:55, laser,001.251, uwb,001.080
2022-05-07 13:02:56, laser,001.268, uwb,001.100
2022-05-07 13:02:56, laser,001.295, uwb,001.100
2022-05-07 13:02:56, laser,001.309, uwb,001.110
2022-05-07 13:02:56, laser,001.326, uwb,001.110
2022-05-07 13:02:56, laser,001.352, uwb,001.130
2022-05-07 13:02:56, laser,001.410, uwb,001.170
2022-05-07 13:02:56, laser,001.442, uwb,001.190
2022-05-07 13:02:56, laser,001.472, uwb,001.190
2022-05-07 13:02:57, laser,001.506, uwb,001.240
2022-05-07 13:02:57, laser,001.572, uwb,001.330
2022-05-07 13:02:57, laser,001.605, uwb,001.420
2022-05-07 13:02:57, laser,001.644, uwb,001.430
2022-05-07 13:02:57, laser,001.683, uwb,001.540
2022-05-07 13:02:57, laser,001.764, uwb,001.570
2022-05-07 13:02:57, laser,001.802, uwb,001.580
2022-05-07 13:02:57, laser,001.845, uwb,001.640
2022-05-07 13:02:58, laser,001.886, uwb,001.700
2022-05-07 13:02:58, laser,001.973, uwb,001.720
2022-05-07 13:02:58, laser,002.016, uwb,001.750
2022-05-07 13:02:58, laser,002.060, uwb,001.780
2022-05-07 13:02:58, laser,002.151, uwb,001.800
2022-05-07 13:02:58, laser,002.197, uwb,001.970
2022-05-07 13:02:58, laser,002.242, uwb,002.000
2022-05-07 13:02:58, laser,002.287, uwb,002.050
2022-05-07 13:02:59, laser,002.381, uwb,002.100
2022-05-07 13:02:59, laser,002.426, uwb,002.160
2022-05-07 13:02:59, laser,002.472, uwb,002.220
2022-05-07 13:02:59, laser,002.515, uwb,002.300
2022-05-07 13:02:59, laser,002.605, uwb,002.330
2022-05-07 13:02:59, laser,002.648, uwb,002.360
2022-05-07 13:02:59, laser,002.694, uwb,002.420
2022-05-07 13:02:59, laser,002.737, uwb,002.570
2022-05-07 13:03:00, laser,002.828, uwb,002.640
2022-05-07 13:03:00, laser,002.871, uwb,002.650
2022-05-07 13:03:00, laser,002.914, uwb,002.740
2022-05-07 13:03:00, laser,002.958, uwb,002.750
2022-05-07 13:03:00, laser,003.045, uwb,002.760
2022-05-07 13:03:00, laser,003.090, uwb,002.820
2022-05-07 13:03:00, laser,003.133, uwb,002.880
2022-05-07 13:03:00, laser,003.218, uwb,002.920
2022-05-07 13:03:01, laser,003.265, uwb,002.950
2022-05-07 13:03:01, laser,003.309, uwb,003.000
2022-05-07 13:03:01, laser,003.355, uwb,003.030
2022-05-07 13:03:01, laser,003.447, uwb,003.080
2022-05-07 13:03:01, laser,003.498, uwb,003.180
2022-05-07 13:03:01, laser,003.544, uwb,003.260
2022-05-07 13:03:01, laser,003.590, uwb,003.320
2022-05-07 13:03:01, laser,003.684, uwb,003.360
2022-05-07 13:03:02, laser,003.734, uwb,003.450
2022-05-07 13:03:02, laser,003.781, uwb,003.500
2022-05-07 13:03:02, laser,003.832, uwb,003.590
2022-05-07 13:03:02, laser,003.931, uwb,003.640
2022-05-07 13:03:02, laser,003.983, uwb,003.690
2022-05-07 13:03:02, laser,004.031, uwb,003.780
2022-05-07 13:03:02, laser,004.082, uwb,003.840
2022-05-07 13:03:02, laser,004.183, uwb,003.950
2022-05-07 13:03:03, laser,004.238, uwb,004.010
2022-05-07 13:03:03, laser,004.289, uwb,003.990
2022-05-07 13:03:03, laser,004.337, uwb,004.100
2022-05-07 13:03:03, laser,004.435, uwb,004.150
2022-05-07 13:03:03, laser,004.484, uwb,004.180
2022-05-07 13:03:03, laser,004.532, uwb,004.220
